馬歡島,Nanshan Island,
班島,Ban Island,
卡克斯島,Carcass Island,
卡尼島,Carney Island,
卡爾尼科巴島,Car Nicobar Island,
吉耶爾莫島,Cayo Guillermo,
吉澳,Kat O,
弗雷里安納島,Floreana Island,
魯阿普基島,Ruapuke Island,
珠澳口岸人工島,Q28796013,
雅蒲島,Yap,
安格尔西岛,Anglesey,
尼维斯,Nevis,
泰爾斯海靈島,Terschelling,
拉斯伯里島,Raspberry Island,
伊拉克利亞島,Irakleia,
羅利島,Rowley Island,
布里克島,Bleaker Island,
扎沃多夫斯基岛,Zavodovski Island,
東平洲,Tung Ping Chau,
费信岛,Flat Island,
奔巴岛,Pemba Island,
阿羅賴島,Arorae,
卡拉謝島,Carache,
巴特島 (阿拉斯加州),Barter Island,
两兄弟岛,Liangxiongdi Dao,
埃季島,Edgeøya,
瓦拉姆群島,Valaam,
由布島,Yubu Island,
霍爾木茲島,Hormuz Island,
巴盧安島,Baluan Island,
魯道夫島,Rudolf Island,
布桑加島,Busuanga Island,
平戶島,Hirado Island,
南島 (洪都拉斯),Cayo Sur,
卡瓦島 (奧克尼群島),"Cava, Orkney",
巴拉望島,Palawan Island,
惠靈頓島,Wellington Island,
弗利蘭島,Vlieland,
东北地岛,Nordaustlandet,
薩爾特島,Saltholm,
迪塞普遜島,Deception Island,
麦克坦岛,Mactan,
種子島,Tanegashima,
波努伊島,Ponui Island,
科特林島,Kotlin Island,
貝利哈密爾頓島,Baillie-Hamilton Island,
康韋礁,Conway Reef,
弗莱厄蒂岛,Flaherty Island,
卡內薩島,Carnaza,
南鸟岛,Minamitorishima,
喬基島,"Chalky Island, New Zealand",
尼庫瑙島,Nikunau,
尼庫馬羅羅環礁,Nikumaroro,
昌古島,Changuu,
田代岛,Tashiro-jima,
艾斯潘諾拉島,Española Island,
蒙庫林礁,Munkurin,
若霍夫島,Zhokhov Island,
美济礁,Mischief Reef,
阿馬克島,Umak Island,
帕島,Pag,
羅斯島,Ross Island,
南岛,Suðuroy,
巴姆島,Q805915,
貝克島 (緬因州),Baker Island,
漢斯島,Hans Island,
伯納雷島,Berneray,
楚爾島,Thurø,
波照間島,Hateruma Island,
馬歇爾島,"Marshall's Island, Bermuda",
马诺诺岛,Manono Island,
利丹島,Lyddan Island,
托尔托拉岛,Tortola,
比休島,Betio,
貝羅納島,Bellona Island,
贝勒岛,Belle Île,
西爾納島,Syrna (island),
南钥岛,Loaita Island,
斯諾希爾島,Snow Hill Island,
八丈小島,Hachijō-kojima,
卡地爾島,Cartier Island,
拉戈島,Cayo Largo del Sur,
拉瓦基環礁,Rawaki Island,
新喬治亞島,New Georgia,
福利島,Foley Island,
考克島,Caye Caulker,
終端島,Terminal Island,
蘇爾塞里島,Gogland,
鐵布卡,Tepuka,
昌普島,Champ Island,
斑鳩島,Ilhéu das Rolas,
謝丹卡島,Sedanka Island,
鹽田仔,Yim Tin Tsai,
阿布穆萨岛,Abu Musa,
馬灣,Ma Wan,
阿莫爾戈斯島,Amorgos,
阿默蘭島,Ameland,
威尔士亲王岛,Prince of Wales Island,
多良間島,Tarama island,
拉魯島,Lalu Island,
漢諾威島,Hanover Island,
羅地島,Rote Island,
賈普坦島,Jabat Island,
貝殼島,Q840599,
巴爾塔島,"Balta, Shetland",
別林斯高晉島,Bellingshausen Island,
南尤伊斯特岛,South Uist,
幌筵岛,Paramushir,
贝斯博洛岛,Besboro Island,
博島 (小貝爾特海峽),Bågø,
北子岛,Northeast Cay,
法羅島,Fårö,
鸿庥岛,Namyit Island,
卡特島,Cat Island,
洲仔,Chau Tsai,
橫瀾島,Waglan Island,
西比路島,Siberut,
鹿島 (新布藍茲維),Deer Island,
內克爾島,Necker Island,
聖帕特里克島,St Patrick's Island,
温祢古丹岛,Onekotan,
奇恰戈夫島,Chichagof Island,
春牟古丹島,Kharimkotan,
聖伊拉斯莫島,Sant'Erasmo,
聖格古爾島,Sveti Grgur,
越渇磨島,Ekarma,
中之島,Nakanoshima,
聖靈島,Whitsunday Island,
波利艾戈斯島,Polyaigos,
羅卡帕蒂達島,Roca Partida,
諾曼比島,Normanby Island,
中岛,"Middle Island, Tristan da Cunha",
拉斯科拉島,Q848263,
莫皮蒂島,Maupiti,
坎波贝洛岛,Campobello Island,
丹傑島,Danger Island,
皮亞諾薩島,Pianosa,
卡斯特洛里佐島,Kastelorizo,
大迪门岛,Stóra Dímun,
斯基罗斯岛,Skyros,
卡拉克隆島,Karakelong,
呂策勞島,Lützelau,
嘉彌真島,Kayamajima,
宮古島,Miyako Island,
小卡伊島,Pulau Kei Kecil,
特納倫加環礁,Tenarunga,
聖彼得島,St. Petersinsel,
來間島,Kurima Island,
喜界島,Kikai Island,
金塘岛,Jintang Island,
占守岛,Shumshu,
东伦内尔岛,East Rennell,
國後島,Kunashir Island,
大小磨刀,"The Brothers (islands), Hong Kong",
孝子角排,Hau Tsz Kok Pai,
长滩岛,Boracay,
克利爾島,Cape Clear Island,
伊豆大島,Izu Ōshima,
平塔島,Pinta Island,
曼昂島,Manaung Island,
民都洛,Mindoro,
施瓦瑙島,Schwanau,
