label,riverLabel,countryLabel
苍岩山,Mount Cangyan,People's Republic of China
通塔爾山脈,Sierra del Tontal,Argentina
梅拉图斯山脉,Meratus Mountains,Indonesia
索利普利火山,Sollipulli,Chile
蒂比達博山,Tibidabo,Spain
阿爾伯特峰,Mount Elbert,United States of America
莫乌恩特阿布,Mount Abu,India
布魯赫山,Bruchberg,Germany
假阿蘇夫雷峰,Falso Azufre,Argentina
假阿蘇夫雷峰,Falso Azufre,Chile
鸡公山,Jigongshan,People's Republic of China
門托拉特火山,Mentolat,Chile
梧桐山,Wutong Mountain,People's Republic of China
阿爾法克山脈,Pegunungan Arfak,Indonesia
湖泊峰,Maja Jezercë,Albania
西樵山,Mount Xiqiao,People's Republic of China
骊山,Mount Li,People's Republic of China
煙霧山,Mountain of Smoke,Bahrain
生駒山,Mount Ikoma,Japan
巴爾塞納火山,Volcán Bárcena,Mexico
塞雷卡布爾火山群,Sairecabur,Chile
塞雷卡布爾火山群,Sairecabur,Bolivia
哈拉莫什峰,Haramosh Peak,Pakistan
武吉帕弓,Bukit Pagon,Malaysia
完达山,Wanda Mountains,People's Republic of China
武吉帕弓,Bukit Pagon,Brunei
五指山,Wuzhi Mountain,People's Republic of China
菲茨罗伊峰,Mount Fitz Roy,Argentina
菲茨罗伊峰,Mount Fitz Roy,Chile
卡爾薩塔山,Qalsata,Bolivia
林賈尼火山,Rinjani,Indonesia
基比亚,Gibeah,Israel
皮通山,Pitons,Saint Lucia
阿蘇爾火山,Cerro Azul,Ecuador
拉卡波希峰,Rakaposhi,Pakistan
奧桑加特山,Ausangate,Peru
尤耶亞科山,Llullaillaco,Argentina
玻利瓦尔峰,Pico Bolívar,Venezuela
尤耶亞科山,Llullaillaco,Chile
卡特邁火山,Mount Katmai,United States of America
盘山,Mount Pan,People's Republic of China
科羅普納峰,Coropuna,Peru
列宁峰,Pik Lenina,Kyrgyzstan
錫亞康戈里峰,Sia Kangri,Pakistan
別列尼卡亞火山,Belenkaya,Russia
里科山,Cerro Rico,Bolivia
费迪南德岛,Ferdinandea,Italy
列宁峰,Pik Lenina,Tajikistan
贡比约恩山,Gunnbjørn Fjeld,Greenland
拉斯塔里亞火山,Lastarria,Argentina
光明山,Jabal al-Nour,Saudi Arabia
阿雷納爾火山,Arenal Volcano,Costa Rica
馬薩內利亞峰,Puig de Massanella,Spain
拉斯塔里亞火山,Lastarria,Chile
毛律山,Mount Murud,Malaysia
卡普拉塔火山,Cerro Capurata,Bolivia
阿雷納萊斯峰,Cerro Arenales,Chile
上高地,Kamikōchi,Japan
凱布訥山,Kebnekaise,Sweden
公格尔峰,Kongur Tagh,People's Republic of China
硫磺山,Sulphur Mountain,Canada
哈得孙火山,Mount Hudson,Chile
馬丘蘇奇科奇山,Machu Such'i Qhuchi,Bolivia
阿法賈托山,Mount Afadjato,Ghana
紫金山,Purple Mountain,People's Republic of China
馬拉巴爾火山,Gunung Malabar,Indonesia
瓦伊納波托西山,Huayna Potosí,Bolivia
穗高岳,Mount Hotaka,Japan
魏斯弗魯,Weissfluh,Switzerland
博克多汗山,Bogd Khan Mountain,Mongolia
茅山,Mount Mao,People's Republic of China
Kummenberg山,Q946172,Austria
不儿罕合勒敦山,Burkhan Khaldun,Mongolia
桑比勒斯,Shimbiris,Somaliland
肯巴爾火山,Mount Kembar,Indonesia
錫比利尼山脈,Sibillini Mountains,Italy
蒙特塞尼山脈,Montseny,Spain
奥拉尔山,Phnom Aural,Cambodia
奧基瓦托火山,Awkiwatu,Peru
魚尾峰,Machapuchare,Nepal
七色山,Cerro de los Siete Colores,Argentina
聖安娜火山,Santa Ana Volcano,El Salvador
托雷峰,Cerro Torre (Argentina),Argentina
圣路济亚山,Santa Lucía Hill,Chile
托雷峰,Cerro Torre (Argentina),Chile
維利亞里卡火山,Villarrica Volcano,Chile
維拉普卡拉尼山,Wila Pukarani,Bolivia
基涅提峰,Kinyeti,South Sudan
姆加新加火山,Mount Gahinga,Uganda
瑪莫斯通崗日峰,Mamostong Kangri,India
塔帕卡火山,Taapaca,Chile
姆加新加火山,Mount Gahinga,Rwanda
亚洛韦茨山,Jalovec,Slovenia
黄石火山,Yellowstone Caldera,United States of America
钻石头山,"Diamond Head, Hawaii",United States of America
基济缅火山,Kizimen,Russia
开仁山,Gaeinsan,South Korea
奥特拉峰,Ortler,Italy
格拉霍斯卡山,Gerlachovská veža,Slovakia
利奥波德山,Leopoldsberg,Austria
哈查瓦拉查山,Jach'a Waracha,Bolivia
索普坦火山,Gunung Soputanpatepangan,Indonesia
查卡塔雅,Chacaltaya,Bolivia
黑高,Hegau,Germany
坦帕山,"Tâmpa, Braşov",Romania
巴達本加火山,Bárðarbunga,Iceland
阿拉法特山,Mount Arafat,Saudi Arabia
獅子山,Lion Rock,People's Republic of China
迪斯特吉峰,Distaghil Sar,Pakistan
諾瓦魯普塔火山,Novarupta,United States of America
卡伦山,Kahlenberg,Austria
帕蒂利亞帕塔火山,Patilla Pata,Bolivia
科利馬火山,Colima,Mexico
巴里桑山脈,Barisan Mountains,Indonesia
薩拉火山,Gunung Salak Satu,Indonesia
阿蘇爾峰 (智利),Cerro Azul,Chile
帕里库廷火山,Parícutin,Mexico
哥倫比亞西部山脈,Cordillera Occidental,Colombia
蒂塔諾山,Monte Titano,San Marino
彼得博斯山,Pieter Both,Mauritius
拉默尔斯贝格矿,Rammelsberg,Germany
冈仁波齐峰,Mount Kailash,People's Republic of China
威廉峰,Mount Wilhelm,Papua New Guinea
卡利夫兰火山,Mount Cleveland,United States of America
阿納利亞赫西火山,Nevado Anallajsi,Bolivia
帕蘇峰,Passu Sar,Pakistan
卡塔丘塔,Kata Tjuta,Australia
波塞茨峰,Pico Posets,Spain
什哈拉山,Shkhara,Georgia
着魔岩,Enchanted Rock,United States of America
卡拉帕塔,Kala Patthar,Nepal
Puncak Mandala,Puncak Mandala,Indonesia
上薩爾斯堡,Obersalzberg,Germany
祖拜爾群島,Zubair Group,Yemen
齊蘭迪亞礁,Zealandia Bank,United States of America
瓦納庫尼山,Wanakuni,Bolivia
阿尼玛卿山,Amne Machin,People's Republic of China
亞當斯山,Mount Adams,United States of America
姆蘭傑山,Mulanje Massif,Malawi
贝克山,Mount Baker,Uganda
淺間山,Mount Asama,Japan
雷文塔多火山,Reventador,Ecuador
敘利亞海岸山脈,An-Nusayriyah Mountains,Syria
穆洛夫達格山,Murovdag,Azerbaijan
海爾聚布雷茲山,Herðubreið,Iceland
巴倫島,Barren Island,India
惠特尼峰,Mount Whitney,United States of America
奧索爾諾火山,Osorno,Chile
小五台山,Mount Little Wutai,People's Republic of China
拇指山,Thumb Peak,Philippines
洛孔火山,Kentur Lokon,Indonesia
奥勒斯库坦,Åreskutan,Sweden
