label,riverLabel,countryLabel
埃特羅波萊市,Etropole Municipality,Bulgaria
柳比梅茨市,Lyubimets Municipality,Bulgaria
阿克莫林斯克州,Aqmola Oblast,Russian Republic
布拉戈耶夫格勒市,Blagoevgrad Municipality,Bulgaria
阿克莫林斯克州,Aqmola Oblast,Russian Empire
古爾科沃市,Gurkovo Municipality,Bulgaria
斯特雷爾恰市,Strelcha Municipality,Bulgaria
德爾戈波爾市,Dalgopol Municipality,Bulgaria
蘇沃羅沃市,Suvorovo Municipality,Bulgaria
喀山州,Q4207730,Soviet Union
萨拉托夫州,Saratov Oblast,Russia
阿斯特拉罕州,Astrakhan Oblast,Russia
尼古拉耶沃市,Nikolaevo Municipality,Bulgaria
尼科波爾市,Nikopol Municipality,Bulgaria
沃齊奇多爾市,Valchi Dol Municipality,Bulgaria
阿爾法塔市,Alfatar Municipality,Bulgaria
戈梅利州,Gomel Region,Belarus
维捷布斯克州,Vitebsk Region,Belarus
卡贊勒克市,Kazanlak Municipality,Bulgaria
奇爾潘市,Chirpan Municipality,Bulgaria
拉德內沃市,Radnevo Municipality,Bulgaria
米爾科沃市,Mirkovo Municipality,Bulgaria
克里米亞州,Crimean Oblast,Soviet Union
尼古拉耶夫州,Mykolaiv Oblast,Ukraine
上馬利納市,Gorna Malina Municipality,Bulgaria
傑貝勒市,Dzhebel Municipality,Bulgaria
斯莫梁市,Smolyan Municipality,Bulgaria
基洛夫州,Kirov Oblast,Russia
库尔干州,Kurgan Oblast,Russia
车里雅宾斯克州,Chelyabinsk Oblast,Russia
斯利沃波萊市,Slivo Pole Municipality,Bulgaria
沃爾比察市,Varbitsa Municipality,Bulgaria
楚瓦什自治州,Chuvash Autonomous Oblast,Soviet Union
南奧賽梯自治州,South Ossetian Autonomous Oblast,Soviet Union
泰爾韋爾市,Tervel Municipality,Bulgaria
塔爾迪庫爾干州,Q684441,Kazakhstan
斯維什托夫市,Svishtov Municipality,Bulgaria
塔爾迪庫爾干州,Q684441,Soviet Union
七河州,Semirechye Oblast,Russian Soviet Federative Socialist Republic
韋林格勒市,Velingrad Municipality,Bulgaria
七河州,Semirechye Oblast,Soviet Union
七河州,Semirechye Oblast,Russian Republic
七河州,Semirechye Oblast,Russian Empire
江布爾州,Jambyl Province,Kazakhstan
外裡海州,Transcaspian Oblast,Russian Empire
沃罗涅日州,Voronezh Oblast,Russia
顿涅茨克州,Donetsk Oblast,Ukraine
薩哈林州 (俄羅斯帝國),Q4409412,Russian Empire
卡爾梅克自治州,Kalmyk Autonomous Oblast,Soviet Union
烏德穆爾特自治州,Udmurt Autonomous Oblast,Soviet Union
瓦爾納市,Varna Municipality,Bulgaria
布古利馬州,Q4097851,Soviet Union
