label,cityLabel
初音未來DVD~impacts~,Q17219203
瘋女日記,Diary of a Mad Black Woman
回到未來II,Back to the Future Part II
大独裁者,The Great Dictator
黑暗中的舞者,Dancer in the Dark
暴力效應,A History of Violence
煞到你,Down to You
極限控制,The Limits of Control
安妮·霍尔,Annie Hall
笑拳怪招,The Fearless Hyena
熊熊俱樂部,Cachorro
沙漠妖姬,"The Adventures of Priscilla, Queen of the Desert"
更好的人生,A Better Life
正經好人,A Serious Man
蜜月變奏曲,A Perfect Getaway
1996麻雀變鳳凰,Mrs. Winterbourne
機器戰警,RoboCop
心理测量者剧场版,Psycho-Pass: The Movie
怪物之子,The Boy and the Beast
Namie amuro 5 Major Domes Tour 2012 ~20th Anniversary Best~,Q11236333
迷失东京,Lost in Translation
神鬼認證：最後通牒,The Bourne Ultimatum
再看我一眼,Against All Odds
衝鋒飛車隊,Mad Max
愛情限時簽,The Proposal
殺出個黎明,From Dusk till Dawn
劫後生死戀,Fearless
香草天空,Vanilla Sky
決戰3點10分 (1957年電影),3:10 to Yuma
政壇風雲,Il Divo
龍虎榜,The Great Escape
終極警探,Die Hard
緊急追捕令,Dirty Harry
迷幻列車,Trainspotting
唱快人生 (2012年電影),Quartet
幻想曲2000,Fantasia 2000
電光飛鏢俠 (1983年電影),Krull
Utada Hikaru Unplugged,Utada Hikaru Unplugged
靈異大逆轉,The Gift
巴黎夜未眠,Hunting and Gathering
捍衛戰士,Top Gun
怪誕城之夜,The Nightmare Before Christmas
咪走雞,Chicken Run
星夢淚痕 (1976年電影),A Star Is Born
闪亮的日子,Latter Days
黑水仙,Black Narcissus
吸血鬼住在隔壁,Fright Night
天使与魔鬼,Angels & Demons
情陷紅磨坊,Moulin Rouge!
第凡內早餐,Breakfast at Tiffany's
不法之徒,Down by Law
各取應得,We Still Kill the Old Way
無間道III：終極無間,Infernal Affairs III
異形基地,Body Snatchers
失眠的解藥,The Cure for Insomnia
盜夢偵探,Paprika
倩女幽魂II：人間道,A Chinese Ghost Story II
天下无贼,A World Without Thieves
舞翻天,A Night at the Roxbury
跳躍吧！時空少女,The Girl Who Leapt Through Time
3D肉蒲團之極樂寶鑑,3D Sex and Zen: Extreme Ecstasy
冒牌天神2,Evan Almighty
愛情摩天輪,Love Is All You Need
没有耳朵的兔子2两只耳朵的小鸡,Zweiohrküken
虎豹小霸王,Butch Cassidy and the Sundance Kid
哥吉拉對機械哥吉拉,Godzilla vs. Mechagodzilla
意外的旅客,The Accidental Tourist
刀槍不入一僧侶,Bulletproof Monk
一部塞尔维亚电影,A Serbian Film
倩女幽魂III：道道道,A Chinese Ghost Story III
家庭事務 (電影),A Family Thing
心機掃描,A Scanner Darkly
没有阳光,Sans Soleil
酷狗寶貝之魔兔詛咒,Wallace & Gromit: The Curse of the Were-Rabbit
大雄的恐龍,Doraemon: Nobita's Dinosaur
精武門,Fist of Fury
崖上的波妞,Ponyo on the Cliff by the Sea
VISUAL SHOCK Vol. 3 刺激²,Q11252685
鳥,The Birds
咖啡館的故事,Cafe Isobe
X戰警,X-Men
奪魂索,Rope
普罗米修斯,Prometheus
福祿雙霸天,The Blues Brothers
落日殺神,Collateral
铁面无私,The Untouchables
死亡的窺伺,Death Watch
風雲羣英會,Spartacus
克藍瑪對克藍瑪,Kramer vs. Kramer
心灵捕手,Good Will Hunting
日落大道,Sunset Boulevard
鐵甲奇俠,Iron Man
魔鬼終結者：未來救贖,Terminator Salvation
生死时速,Speed
回到未來III,Back to the Future Part III
真愛挑日子,One Day
變形金剛3,Transformers: Dark of the Moon
四十七人刺客,47 Ronin
夏日記遊,Summer in the City
極度暴劫,Shopping
給我庇護,Gimme Shelter
歡樂滿人間,Mary Poppins
