label,cityLabel
鲁拜集,Rubáiyát of Omar Khayyám
我的生活,My Life
快樂的科學,The Gay Science
性,Sex
静静的顿河,And Quiet Flows the Don
Deletionpedia,Deletionpedia
自然哲学的数学原理,Philosophiae Naturalis Principia Mathematica
2061太空漫遊,2061: Odyssey Three
一生,A Life
天堂之火,Fire from Heaven
暗夜無星,"Full Dark, No Stars"
永别了，武器,A Farewell to Arms
歌劇魅影,The Phantom of the Opera
代數幾何基礎,Éléments de géométrie algébrique
史记,Records of the Grand Historian
屠場,The Jungle
有時候，他們會回來,Night Shift
第五號屠宰場,Slaughterhouse-Five
銷形蝕骸,Thinner
高尔吉亚篇,Gorgias
海蒂,Heidi
索拉里斯星,Solaris
善惡的彼岸,Beyond Good and Evil
莎士比亞戲劇故事集,Tales from Shakespeare
我輩孤雛,When We Were Orphans
诗学,Poetics
11/22/63,11/22/63
來自新世界,From the New World
白夜行,Byakuyako
授者,The Giver
GTD,Getting Things Done
科爾庫特之書,Book of Dede Korkut
生命是什么,What Is Life?
米德維奇鎮的布穀鳥,The Midwich Cuckoos
GUNDAM前哨戰,Gundam Sentinel
絕代雙驕,Juedai Shuangjiao
小甜甜,Candy Candy
夜,Night
蝇王,Lord of the Flies
鏡子戰爭,The Looking Glass War
天路歷程,The Pilgrim's Progress
迷失世界（克萊頓的小說）,The Lost World
杜登,Duden
理智与情感,Sense and Sensibility
爱的艺术,Ars Amatoria
地下室手记,Notes from Underground
沙卜拉干,Shabuhragan
好兵帥克,The Good Soldier Švejk
计算机程序设计艺术,The Art of Computer Programming
文明衝突論,Clash of Civilizations
莫洛博士岛,The Island of Doctor Moreau
茶花女,The Lady of the Camellias
彼得兔的故事,The Tale of Peter Rabbit
杨家将,Generals of the Yang Family
黑暗，帶我走,"Darkness, Take My Hand"
奥斯卡与露辛达,Oscar and Lucinda
四庫全書,Siku Quanshu
日葡辭書,Nippo Jisho
流星之絆,Ryūsei no Kizuna
希伯来百科全书,Encyclopaedia Hebraica
W的悲劇,Murder at Mt. Fuji
未來時速,Business @ the Speed of Thought
蠟燭的化學史,The Chemical History of a Candle
黑暗之潮,World of Warcraft: Tides of Darkness
西行漫记,Red Star Over China
古都,The Old Capital
三國志,Records of the Three Kingdoms
大英百科全书,Encyclopædia Britannica
達文西密碼,The Da Vinci Code
苏格拉底的申辩,Apology
维基词典,Wiktionary
米德尔马契,Middlemarch
三重模拟,Simulacron-3
兒雷也豪傑物語,Jiraiya Gōketsu Monogatari
希英詞典,A Greek–English Lexicon
生态乌托邦,Ecotopia
美國人民的歷史,A People's History of the United States
自来也,Jiraiya
三體III：死神永生,Death's End
优先队列,priority queue
辞海,Cihai (辞海)
列寧格勒抄本,Leningrad Codex
基地邊緣,Foundation's Edge
游戏的人,Homo Ludens
線性音韻學,The Sound Pattern of English
镜花缘,Flowers in the Mirror
漢語大詞典,Hanyu Da Cidian
Online Etymology Dictionary（網上詞源詞典）,Online Etymology Dictionary
第22条军规,Catch-22
茵夢湖,Immensee
朗读者,The Reader
怪奇馬戲團,Cirque du Freak
鼠疫,The Plague
電話區碼347,Area code 347
双城记,A Tale of Two Cities
戰慄遊戲,Misery
中二病也要談戀愛！,"Love, Chunibyo & Other Delusions"
布萊克法律詞典,Black's Law Dictionary
福爾摩斯歸來記,The Return of Sherlock Holmes
失樂園,A Lost Paradise
猜猜我有多愛你,Guess How Much I Love You
耶穌一生,Toledot Yeshu
屍骨袋,Bag of Bones
女權辯護,A Vindication of the Rights of Woman
正义论,A Theory of Justice
烽火危城,A Clash of Kings
未完成的故事,Unfinished Tales
麥迪遜之橋 (小說),The Bridges of Madison County
美國的悲劇,An American Tragedy
維拉本紀,Valaquenta
父辈的旗帜,Flags of Our Fathers
慘敗,Fiasco
新月危機,Moonrise
世界尽头与冷酷仙境,Hard-Boiled Wonderland and the End of the World
開始郵政,Going Postal
續日本紀,Shoku Nihongi
少年陰陽師,Shōnen Onmyōji
少年國王,A House of Pomegranates
常用歌集,Liber Usualis
玩伴貓耳娘,Asobi ni iku yo!
與拉瑪相會,Rendezvous with Rama
果壳中的宇宙,The Universe in a Nutshell
深夜加油站遇見蘇格拉底,Way of the Peaceful Warrior
危險小徑,A Dangerous Path
藍道佛王國：出售魔法王國－成交！,Magic Kingdom for Sale — SOLD!
博士熱愛的算式,The Housekeeper and the Professor
論建築,De Re Aedificatoria
庄子,Zhuangzi
時間軸,Axis
穿条纹睡衣的男孩,The Boy in the Striped Pyjamas
教會被擄於巴比倫,On the Babylonian Captivity of the Church
沉默的羔羊之揭開罪幕,Hannibal Rising
魔鬼的牧師,A Devil's Chaplain
奈米獵殺,Prey
致命引擎,Mortal Engines
我不是拉登,The Reluctant Fundamentalist
澳大利亞傳記辭典,Australian Dictionary of Biography
不毛地帶,Fumō Chitai
三幕悲剧,Three Act Tragedy
夢的解析,The Interpretation of Dreams
談談方法,Discourse on the Method
我是傳奇,I Am Legend
藏書室女屍之謎,The Body in the Library
新五代史,New History of the Five Dynasties
爱弥儿,"Emile, or On Education"
京华烟云,Moment in Peking
增血鬼果林,Chibi Vampire
惡夢工廠,Nightmares & Dreamscapes
愛倫坡暗影,The Poe Shadow
最後的演講,The Last Lecture
福樓拜的鸚鵡,Flaubert's Parrot
虎妈战歌,Battle Hymn of the Tiger Mother
開放社會及其敵人,The Open Society and Its Enemies
諸橋大漢和辭典,Dai Kan-Wa Jiten
数学百科全书,Encyclopedia of Mathematics
立陶宛百科全書,Encyclopedia Lituanica
吸血鬼王子,The Vampire Prince
槍炮、病菌與鋼鐵,"Guns, Germs, and Steel"
白城魔鬼：奇蹟與謀殺交織的博覽會,The Devil in the White City
愛與死 (小說),On Love and Death
渡河入林,Across the River and into the Trees
荷马史诗,Homeric Hymns
牠 (小說),It
哥倫比亞百科全書,Columbia Encyclopedia
無限接近透明的藍,Almost Transparent Blue
雲中奇案,Death in the Clouds
攔截密碼戰,Enigma
奇蹟課程,A Course in Miracles
奥古斯都神的功业,Res Gestae Divi Augusti
失竊的信,The Purloined Letter
最后致意,His Last Bow
迷你裙宇宙海賊,Bodacious Space Pirates
骑鹅历险记,The Wonderful Adventures of Nils
史力加！,Shrek!
地獄藍調（小說）,Killing Floor
马格斯·哈弗拉尔,Max Havelaar
.hack//AI buster,.hack//AI buster
判断力批判,Critique of Judgment
黃金之路,The Golden Road
中华字海,Zhonghua Zihai
插圖小拉魯斯詞典,Petit Larousse
日本後紀,Nihon kōki
智商與國民財富,IQ and the Wealth of Nations
瑜伽經,Yoga Sutras of Patanjali
秘密之森,Forest of Secrets
辞源,Ciyuan
食虫植物通讯,Carnivorous Plant Newsletter
尔雅,Erya
三角形中心百科,Encyclopedia of Triangle Centers
方法論百科全書,Encyclopédie Méthodique
自由百科,Enciclopedia Libre Universal en Español
政治科學全書,Q1575321
贖罪,Atonement
长老,Eldest
電話區碼929,Area code 929
凱恩艦事變,The Caine Mutiny
在岩石与险境间,Between a Rock and a Hard Place
怕飞,Fear of Flying
中国烹饪辞典,Zhongguo pengren cidian
史籀篇,Shizhoupian
精神疾病診斷與統計手冊,Diagnostic and Statistical Manual of Mental Disorders
魔之系列,Kyo Kara Maoh!
世界的和諧,Harmonices Mundi
埃努的大樂章,Ainulindalë
呆伯特法則,the Dilbert principle
MathWorld,MathWorld
惡魔賊,Demon Thief
無盡的玩笑,Infinite Jest
入唐求法巡礼行记,Ennin's Diary: The Record of a Pilgrimage to China in Search of the Law
大崩壞,Collapse: How Societies Choose to Fail or Succeed
太玄,Taixuanjing
环球百科全书,Encyclopædia Universalis
群魔,Demons
區號204及431,Area codes 204 and 431
米迦勒·寇哈斯,Michael Kohlhaas
寵物墳場,Pet Sematary
血戰,Blood+
隔離島 (書籍),Shutter Island
黑魔女學園,Kuromajo-san ga Toru!!
好兵,The Good Soldier
挪威的森林,Norwegian Wood
世界十大小說家及其代表作,Ten Novels and Their Authors
失眠 (小說),Insomnia
聖鬥士星矢 巨人之戰,Q1083859
創聖機械天使EVOL,Aquarion Evol
临床医学的诞生,The Birth of the Clinic
拉丁美洲被切开的血管,Open Veins of Latin America
穿越時空的巨石碑,The Chronoliths
千羽鶴,Thousand Cranes
马克思主义文库,Marxists Internet Archive
漢和辭典,Kan-Wa Jiten
牛津簡明英語詞典,Concise Oxford English Dictionary
傑羅德遊戲,Gerald's Game
一桩事先张扬的谋杀案,Chronicle of a Death Foretold
异乡异客,Stranger in a Strange Land
在路上,The Road
柳林中的風聲,The Wind in the Willows
雙城奇謀,The Two Towers
癌病房,Cancer Ward
纽约时报基本知识指南,The New York Times Guide to Essential Knowledge
还有一件事……,And Another Thing...
阿瓦隆的迷雾,The Mists of Avalon (miniseries)
新國際百科全書,New International Encyclopedia
西班牙岬角的秘密,The Spanish Cape Mystery
規訓與懲罰,Discipline and Punish
論題篇,Topics
第一哲學沉思集,Meditations on First Philosophy
妳是主人我是僕,Kimi ga Aruji de Shitsuji ga Ore de
罗亭,Rudin
哲學字典,Dictionnaire philosophique
詭辯篇,Sophistical Refutations
潰雪,Snow Crash
史丹佛哲學百科全書,Stanford Encyclopedia of Philosophy
本草纲目,Bencao Gangmu
代表安全無副作用,Everything Added to Food in the United States
苏联哈萨克百科全书,Kazakh Soviet Encyclopedia
两次世界大战之间的国际关系,The Twenty Years' Crisis
壳中少女,Mardock Scramble
知更鳥的賭注,The Redbreast
大師 (小說),The Master
你往何處去,Quo Vadis
伯德街小岛,The Island on Bird Street
勸導 (小說),Persuasion
阿特拉斯摆脱重负,Atlas Shrugged
接觸未來,Contact
平面國,Flatland
美诺篇,Meno
引爆流行,The Tipping Point
阿爾奈-湯普森分類法,Aarne–Thompson classification system
經典釋文,Jingdian Shiwen
英國工人階級狀況,The Condition of the Working Class in England
黎明行者號,The Voyage of the Dawn Treader
阿伊朵,Idoru
郵差總按兩次鈴,The Postman Always Rings Twice
光明王,Lord of Light
隨筆集,Essays
鲁道夫星表,Rudolphine Tables
克里姆林宮的樞機主教,The Cardinal of the Kremlin
小白鳥,The Little White Bird
死亡印記,Just One Look
黑塔：穿過鎖匙孔的風,The Dark Tower: The Wind Through the Keyhole
法國大百科全書,La Grande Encyclopédie
流浪的星星,Wandering Star
魔王勇者,Maoyū Maō Yūsha
创化论,Creative Evolution
葛洛夫音樂百科全書,The New Grove Dictionary of Music and Musicians
韦氏词典,Webster's Dictionary
大寶鑑,Speculum Maius
和名類聚抄,Wamyō Ruijushō
北堂书钞,Q814901
史蒂夫·乔布斯传,Steve Jobs
人魔 (小說),Hannibal
雅典憲章,Athens Charter
魔狼島,Wolf Island
努曼諾爾淪亡史,Akallabêth
太空人 (小說),The Astronauts
失落的故事集,The Book of Lost Tales
銀椅,The Silver Chair
阿Q正傳,The True Story of Ah Q
理解媒介,Understanding Media: The Extensions of Man
猎鲨记,The Hunting of the Snark
忏悔录,Confessions
一个数学家的辩白,A Mathematician's Apology
弗德馬先生案例的真相,The Facts in the Case of M. Valdemar
三體,The Three-Body Problem
突厥语大词典,Dīwān ul-Lughat al-Turk
吸血鬼維多利奧,Vittorio the Vampire
寄物櫃裡的嬰孩,Coin Locker Babies
斯普特尼克恋人,Sputnik Sweetheart
公爵夫人之書,The Book of the Duchess
PlanetMath,PlanetMath
阿倫德爾手稿,Codex Arundel
美國國會傳記目錄,Biographical Directory of the United States Congress
史集,Jami' al-tawarikh
晚笑堂画传,Q15904701
三才圖會,Sancai Tuhui
国家百科全书,Nationalencyklopedin
御製五體清文鑑,Yuzhi Wuti Qing Wenjian
時間線,Timeline
漂亮朋友,Bel Ami
肉體的惡魔,Le Diable au corps
分歧者,Divergent
魔女嘉莉,Carrie
源頭,The Fountainhead
無尾獸的目光,Eyes of the Tailless Animals: Prison Memoirs of a North Korean Woman
穿越时空的少女,The Girl Who Leapt Through Time
龍與地下城基本版第二修定版,Dungeons & Dragons Basic Set
幕,Curtain
Campione 弒神者！,Campione!
古拉格群岛,The Gulag Archipelago
夢書之城,The City of Dreaming Books
少年小樹之歌,The Education of Little Tree
血色童話,Let the Right One In
聖境預言書,The Celestine Prophecy
歷史,Histories
慢,Slowness
度亡经,ბარდო თოდოლ
德國正在自取滅亡,Deutschland schafft sich ab
枕草子,The Pillow Book
蒸汽屋,The Steam House
阿方索星表,Alfonsine Tables
韓國民族文化大百科,Encyclopedia of Korean Culture
妇女研究,Q1109007
意大利百科全书,Enciclopedia Treccani
海潮之声,Ocean Waves
滾石唱片指南,The Rolling Stone Album Guide
龍龕手鏡,Longkan Shoujian
如何閱讀一本書,How to Read a Book
