label,riverLabel,countryLabel
埃爾門泰塔湖,Lake Elmenteita,Kenya
馬萊博湖,Pool Malebo,Republic of the Congo
布伦湖,Bullenseen,Germany
奧里韋西湖,Lake Orivesi,Finland
卡拉恰伊湖,Lake Karachay,Russia
日月潭,Sun Moon Lake,Taiwan
哈桑湖,Lake Khasan,Russia
当惹雍错,Tangra Yumco,People's Republic of China
武汉东湖,East Lake,People's Republic of China
小普雷斯帕湖,Small Prespa Lake,Albania
錫姆科湖,Lake Simcoe,Canada
布莱德湖,Lake Bled,Slovenia
普卡基湖,Lake Pukaki,New Zealand
耶焦拉克湖,Jeziorak,Poland
德尚博湖,Deschambault Lake,Canada
希尼亞爾德維湖,Śniardwy,Poland
謝利格爾湖,Lake Seliger,Russia
德里維亞特湖,Dryvyaty,Belarus
泰梅爾湖,Lake Taymyr,Russia
比奧格勒湖,Lake Biograd,Montenegro
韋倫采湖,Lake Velence,Hungary
皮耶利宁湖,Pielinen,Finland
诺湖,Lake No,South Sudan
斯特爾布斯凱湖,Štrbské pleso,Slovakia
叠溪海子,Diexi Lake,People's Republic of China
恩古雷湖,Lake Engure,Latvia
阿克謝希爾湖,Lake Akşehir,Turkey
大特勞特湖 (安大略省),Big Trout Lake,Canada
奇亞爾科塔湖,Ch'iyar Quta,Bolivia
泰皮查卡科塔湖,Taypi Chaka Quta,Bolivia
托賈湖,Todzha Lake,Russia
亞諾瓦湖,Q2590409,Belarus
納拉奇湖,Lake Narach,Belarus
塔穆拉湖,Lake Tamula,Estonia
科克倫湖,Cochrane/Pueyrredón Lake,Argentina
本查干湖,Böön Tsagaan Lake,Mongolia
拉昂错,Lake Rakshastal,People's Republic of China
諾納科湖,Nonacho Lake,Canada
阿雅克库木湖,Ayakum Lake,People's Republic of China
科克倫湖,Cochrane/Pueyrredón Lake,Chile
松恩湖,Sognsvann,Norway
巴赫泰甘湖,Bakhtegan Lake,Iran
圖爾戈亞克湖,Lake Turgoyak,Russia
科理布湖,Lough Corrib,Ireland
凱爾湖,Kellersee,Germany
胡納萬湖,Hornavan,Sweden
比斯喬湖,Bistcho Lake,Canada
加里湖,Garry Lake,Canada
涅羅湖,Lake Nero,Russia
聖克萊爾湖,Lake St Clair,Australia
佩德湖,Lake Pedder,Australia
博金斯基湖,Bahinskaje,Belarus
泸沽湖,Lugu Lake,People's Republic of China
韋巴湖,Łebsko Lake,Poland
辛格瓦德拉湖,Þingvallavatn,Iceland
姆韋魯萬蒂帕湖,Lake Mweru Wantipa,Zambia
乔治湖,Lake George,Uganda
皮哈湖,Pühajärv,Estonia
特卡波湖,Lake Tekapo,New Zealand
阿寒湖,Lake Akan,Japan
納帕克圖利克湖,Napaktulik Lake,Canada
馬林湖,Maligne Lake,Canada
拉查湖,Lake Lacha,Russia
沃斯特湖,Wast Water,United Kingdom
麥克勞湖,Lake McKerrow,New Zealand
耶諾澤羅湖,Lake Yonozero,Russia
耶謝伊湖,Lake Yessey,Russia
紐埃爾廷湖,Nueltin Lake,Canada
馬祖爾湖區,Masurian Lake District,Poland
沙斯科湖,Lake Šas,Montenegro
阿盧克斯內湖,Lake Alūksne,Latvia
庫倫達湖,Lake Kulundinskoye,Russia
韋爾特湖,Wörthersee,Austria
明托湖,Lake Minto,Canada
海德湖,Heidsee,Switzerland
納沙托湖,Lake Neufchâteau,Belgium
斯特魯斯塔湖,Strusta Lake,Belarus
奧斯維亞湖,Lake Osveya,Belarus
武勒尔湖,Wular Lake,India
大帕斯托斯湖,Pastos Grandes Lake,Bolivia
查帕拉湖,Lake Chapala,Mexico
沃熱湖,Lake Vozhe,Russia
歐澤特湖,Ozette Lake,United States of America
大苦湖,Great Bitter Lake,Egypt
弗萊森湖,Fleesensee,Germany
蒙哥湖,Lake Mungo,Australia
阿馬朱瓦克湖,Amadjuak Lake,Canada
佩滕伊察湖,Lake Petén Itzá,Guatemala
伊利蘇水壩,Ilısu Dam,Turkey
坦布坎湖,Lake Tambukan,Russia
約阿尼納湖,Lake Ioannina,Greece
奇阿庫塔湖,Ch'iyar Quta,Bolivia
呼倫湖,Hulun Lake,People's Republic of China
萊塔斯湖,Lake Letas,Vanuatu
聖克萊爾湖,Lake Saint Clair,Canada
施佩青湖,Spitzingsee,Germany
瓦拉諾湖,Lago di Varano,Italy
阿倫德湖,Arendsee,Germany
克拉莫克湖,Crummock Water,United Kingdom
支笏湖,Lake Shikotsu,Japan
聖克萊爾湖,Lake Saint Clair,United States of America
風蓮湖,Lake Furen,Japan
廷湖,Tinnsjå,Norway
梅干提克湖,Lake Mégantic,Canada
馬尼托巴湖,Lake Manitoba,Canada
朱盧庫利湖,Q739577,Russia
梅尔维尔湖,Lake Melville,Canada
阿蒂勒里湖,Artillery Lake,Canada
鄂陵湖,Ngoring Lake,People's Republic of China
納齊克湖,Lake Nazik,Turkey
奧若吉諾湖,Lake Ozhogino,Russia
維利梅湖,Q1550966,Poland
昆諾特湖,Lake Quinault,United States of America
施盧赫湖,Schluchsee,Germany
喬赫尼亞科塔湖,Ch'uxña Quta,Bolivia
馬爾馬拉湖,Lake Marmara,Turkey
法克湖,Faaker See,Austria
河口湖,Lake Kawaguchi,Japan
托武蒂湖,Lake Towuti,Indonesia
布庫拉湖,Bucura Lake,Romania
溫納貝戈湖,Lake Winnebago,United States of America
阿马迪厄斯湖,Lake Amadeus,Australia
伯特蘭湖,Bertrand Lake,Chile
克塔湖,Lake Keta,Russia
上奎托湖,Q1894094,Russia
泰湖,Loch Tay,United Kingdom
布特林特湖,Lake Butrint,Albania
八郎潟,Hachirōgata,Japan
尼皮辛湖,Lake Nipissing,Canada
克拉斯諾耶湖,Lake Krasnoye,Russia
恩加米湖,Lake Ngami,Botswana
薩爾特蘭湖,Q2640299,Russia
列克索澤羅湖,Lake Leksozero,Russia
涅爾皮奇耶湖,Lake Nerpichye,Russia
湖,"The Lakes, Copenhagen",Denmark
希諾湖,Lake Hino,Estonia
阿赫魯湖,Lake Aheru,Estonia
蘇霍多利斯科耶湖,Lake Sukhodolskoye,Russia
拉納爾韋湖,Lanalhue Lake,Chile
漢米爾頓湖,"Lake Rotoroa, Waikato",New Zealand
拉巴兹湖,Lake Labaz,Russia
安布塞爾湖,Lake Ambussel,Tanzania
奧湖,Loch Awe,United Kingdom
庫丘克湖,Q2642276,Russia
卡古爾湖,Q2635906,Ukraine
卡古爾湖,Q2635906,Moldova
七星岩,Seven Star Crags,People's Republic of China
查干湖,Chagan Lake,People's Republic of China
阿蒂科納克湖,Atikonak Lake,Canada
凱安塔拉維湖,Kiantajärvi,Finland
拉姆拉错,Lhamo La-tso,People's Republic of China
博希尼湖,Lake Bohinj,Slovenia
